phase	transcriber	expert	data	minutes	transcribed_seconds	transcribed_delta
1	A	sì	straparla	30	74	74
1	A	sì	straparla	60	110	36
1	A	sì	straparla	90	153	43
1	A	sì	straparla	120	195	42
2	A	sì	straparla	30	60	60
2	A	sì	straparla	60	129	69
2	A	sì	straparla	90	193	64
2	A	sì	straparla	120	232	39
1	E	sì	parlabo	30	117	117
1	E	sì	parlabo	60	268	151
1	E	sì	parlabo	90	378	110
1	E	sì	parlabo	120	503	125
2	E	sì	pasti	30	113	113
2	E	sì	pasti	60	257	144
2	E	sì	pasti	90	360	103
2	E	sì	pasti	120	465	105
1	I	sì	straparla	30	71	71
1	I	sì	straparla	60	133	62
1	I	sì	straparla	90	206	73
1	I	sì	straparla	120	290	84
2	I	sì	parlabo	30	69	69
2	I	sì	parlabo	60	138	69
2	I	sì	parlabo	90	229	91
2	I	sì	parlabo	120	254	25
1	L	no	straparla	30	41	41
1	L	no	straparla	60	79	38
1	L	no	straparla	90	130	51
1	L	no	straparla	120	175	45
2	L	no	parlabo	30	51	51
2	L	no	parlabo	60	118	67
2	L	no	parlabo	90	224	106
2	L	no	parlabo	120	280	56
1	M	no	parlabo	30	48	48
1	M	no	parlabo	60	90	42
1	M	no	parlabo	90	149	59
1	M	no	parlabo	120	212	63
2	M	no	pasti	30	67	67
2	M	no	pasti	60	162	95
2	M	no	pasti	90	239	77
2	M	no	pasti	120	284	45
1	N	no	parlabo	30	64	64
1	N	no	parlabo	60	117	53
1	N	no	parlabo	90	180	63
1	N	no	parlabo	120	187	7
2	N	no	straparla	30	70	70
2	N	no	straparla	60	144	74
2	N	no	straparla	90	213	69
2	N	no	straparla	120	242	29
1	O	sì	pasti	30	90	90
1	O	sì	pasti	60	180	90
1	O	sì	pasti	90	254	74
1	O	sì	pasti	120	304	50
2	O	sì	straparla	30	120	120
2	O	sì	straparla	60	220	100
2	O	sì	straparla	90	396	176
2	O	sì	straparla	120	406	10
1	R	no	pasti	30	40	40
1	R	no	pasti	60	72	32
1	R	no	pasti	90	135	63
1	R	no	pasti	120	185	50
2	R	no	straparla	30	64	64
2	R	no	straparla	60	104	40
2	R	no	straparla	90	173	69
2	R	no	straparla	120	191	18
1	S	sì	straparla	30	49	49
1	S	sì	straparla	60	110	61
1	S	sì	straparla	90	155	45
1	S	sì	straparla	120	197	42
2	S	sì	parlabo	30	180	180
2	S	sì	parlabo	60	300	120
2	S	sì	parlabo	90	410	110
2	S	sì	parlabo	120	491	81
1	U	no	straparla	30	42	42
1	U	no	straparla	60	77	35
1	U	no	straparla	90	110	33
1	U	no	straparla	120	145	35
2	U	no	pasti	30	82	82
2	U	no	pasti	60	147	65
2	U	no	pasti	90	236	89
2	U	no	pasti	120	265	29
1	V	no	pasti	30	53	53
1	V	no	pasti	60	73	20
1	V	no	pasti	90	138	65
1	V	no	pasti	120	185	47
2	V	no	straparla	30	69	69
2	V	no	straparla	60	149	80
2	V	no	straparla	90	217	68
2	V	no	straparla	120	251	34
